1.4182e-08+1.5535e-08i,-5.899e-08-7.5136e-08i,-1.3507e-07+5.2343e-08i,4.3926e-08-3.1929e-08i,-6.6538e-08-6.1627e-08i,4.197e-08-4.7195e-08i,-6.5524e-09+5.894e-08i,1.3338e-09+7.9359e-08i,1.6968e-08+5.0787e-08i,-4.9362e-08+7.2128e-08i,-1.1184e-07+3.9594e-08i,3.2898e-08-3.225e-10i,4.1893e-08+3.0988e-08i,2.8681e-08-6.4271e-08i,7.831e-09-7.9649e-08i,2.0571e-08+9.5097e-09i,-2.1004e-09-3.9867e-08i,-3.0802e-08+3.0481e-08i,1.103e-07+5.5535e-08i,1.9324e-08-5.3437e-08i,-4.4822e-08-2.6615e-08i,-5.2042e-08-3.4539e-08i,-1.2593e-08+1.7189e-08i,-1.6353e-08+6.1325e-08i,1.3596e-08+2.3748e-08i
1.4953e-08-2.5595e-09i,-1.2296e-08-2.8617e-09i,1.8722e-08+1.7409e-08i,1.2972e-08-7.0419e-08i,-1.7899e-08+9.1616e-09i,-1.3203e-08-2.8983e-08i,1.1131e-08+5.1989e-08i,5.0135e-09-3.4323e-08i,1.8688e-08+1.7088e-08i,4.7191e-09-6.4495e-08i,1.1179e-08+3.385e-08i,-6.3976e-09+1.0577e-08i,-5.7856e-08+1.3382e-08i,4.2169e-08-6.6937e-08i,9.8363e-08+3.4676e-09i,4.3809e-08+1.1726e-08i,-4.5166e-09-5.0014e-08i,4.3221e-08-3.4371e-08i,9.2901e-08+5.2917e-08i,7.9563e-08-4.2325e-08i,-2.4796e-08-9.7653e-08i,8.6838e-08-4.4024e-08i,-2.2784e-08-2.4453e-08i,5.804e-10-4.7832e-08i,-3.0647e-08-7.0301e-08i
-4.7953e-10+4.438e-08i,-1.8344e-08-1.9607e-08i,-1.0416e-07+9.2008e-09i,3.1563e-08-6.7848e-08i,6.7309e-08+7.5291e-09i,7.4049e-09-9.8224e-09i,-2.9858e-08+8.5114e-08i,-1.3375e-08-6.7077e-08i,1.8873e-08-1.4382e-09i,8.2224e-08+3.6645e-08i,-2.4289e-08+1.6566e-08i,-1.7888e-08+2.9596e-08i,-1.3574e-08+6.146e-08i,-2.5393e-08-9.7332e-08i,-6.849e-08-9.3543e-09i,4.422e-08-4.2497e-09i,-3.1102e-09+1.146e-08i,2.765e-08-2.5226e-08i,7.8971e-08-7.8274e-08i,2.5377e-08+8.099e-08i,-2.9715e-08-5.0668e-08i,-6.2995e-08-2.5788e-08i,-1.4161e-08-2.8608e-08i,-1.063e-07+3.9664e-08i,-3.6705e-08+1.0231e-07i
-2.4915e-08+9.5545e-08i,-6.4847e-09-7.5819e-08i,-1.0638e-07-2.7936e-08i,2.3656e-08-1.0269e-07i,-9.0646e-08-2.4927e-09i,-2.3842e-08-1.8303e-08i,6.9289e-08-6.0696e-08i,3.2353e-08-9.4477e-09i,-1.8161e-08-1.0402e-08i,7.5924e-09-3.4246e-08i,1.9146e-08+4.1161e-08i,3.0431e-08-1.893e-08i,-2.777e-08-5.1174e-08i,-7.3682e-08-7.1457e-08i,1.0522e-07-5.1823e-08i,7.4067e-08+1.9892e-08i,-1.977e-08-6.8747e-08i,5.3771e-09+8.1282e-08i,2.1678e-08-1.2094e-08i,-4.3748e-08+9.6805e-08i,-4.448e-08+1.5375e-08i,1.1007e-07-2.295e-08i,-4.8231e-08-3.8314e-08i,3.4684e-08-3.4292e-08i,6.3078e-08+3.4287e-08i
-2.5819e-08-4.4318e-08i,3.3528e-08-2.9203e-08i,-4.348e-09-3.8602e-08i,1.6792e-08+2.0154e-08i,4.9186e-08-2.1568e-08i,1.2148e-07+8.1821e-08i,-2.5215e-08+4.0287e-08i,-9.6923e-09-1.1299e-07i,-3.0561e-08+3.8371e-08i,1.7333e-08+4.7281e-08i,2.4812e-09+8.321e-08i,-1.0679e-08-1.0983e-08i,1.6973e-08+5.6427e-08i,1.4541e-08+4.048e-09i,-3.6084e-08+3.3462e-08i,-2.3086e-09+5.4639e-08i,-3.1141e-08-7.9334e-08i,-6.932e-08-1.5874e-08i,1.2895e-08+2.1308e-08i,1.9422e-08+1.6213e-08i,-3.6773e-08+2.7661e-10i,4.3439e-08-7.7318e-08i,1.7687e-08-1.7055e-08i,1.3567e-08-2.3003e-08i,1.088e-08-1.0151e-08i
4.5581e-09+1.0344e-07i,-6.2218e-08-2.3447e-08i,3.7836e-09+1.8212e-11i,1.475e-08-2.7574e-08i,2.7914e-08+3.9149e-08i,-1.0014e-09+9.2592e-08i,-1.8277e-08+1.4619e-08i,-4.7083e-09-2.1158e-08i,2.2964e-08+2.8352e-08i,7.3063e-08+6.8046e-08i,-2.2315e-09-3.5442e-09i,1.9451e-08+3.5716e-08i,-5.1709e-09+7.8292e-09i,6.893e-08-1.0696e-08i,1.5798e-08-4.6954e-08i,4.6063e-08-3.4016e-08i,-5.7027e-08-2.3246e-08i,8.7913e-08+3.9952e-08i,-1.1267e-08-2.4638e-08i,-5.1406e-08-2.2214e-08i,3.2601e-08-1.4907e-08i,2.1872e-09+5.0988e-08i,-4.8359e-08-5.7796e-08i,1.6255e-08+7.9498e-08i,-8.539e-09-3.7115e-08i
-4.5997e-08+3.4333e-08i,8.2584e-08-8.9501e-08i,3.7296e-08+2.0312e-08i,2.3944e-08-6.1732e-08i,3.9962e-08+4.2183e-08i,-8.953e-09+1.276e-08i,5.7121e-09+6.6845e-08i,4.5059e-08-2.4259e-08i,-4.2406e-08-6.0732e-08i,4.6007e-08-1.8112e-08i,-2.5226e-08+9.3763e-09i,5.1557e-09+1.3224e-08i,5.6928e-08+8.6018e-09i,-4.6269e-08-3.8531e-08i,2.2719e-08-3.5117e-08i,8.4481e-09+2.6878e-08i,9.4024e-08-2.602e-08i,-5.3788e-09-1.0497e-07i,2.7405e-08+2.0937e-08i,-7.0244e-08+1.277e-08i,5.8704e-08-4.0585e-08i,8.141e-08+2.2738e-08i,-6.2865e-08-4.2665e-08i,1.3263e-08-1.3491e-09i,1.0966e-07-7.8559e-10i
1.0446e-08-2.5866e-08i,-6.1674e-09-2.4358e-08i,1.118e-08-4.6602e-08i,-3.76e-08+1.0902e-08i,3.056e-08+4.8485e-08i,-4.1333e-08-3.6934e-08i,8.8655e-08-9.008e-08i,-2.5544e-09-3.5084e-08i,-1.3325e-08+4.0443e-08i,4.9541e-09+8.8419e-08i,-4.3788e-08-2.2883e-08i,9.7048e-09+6.5738e-08i,6.9905e-08-5.479e-08i,3.4256e-08+8.7564e-08i,-2.5749e-08+5.6931e-08i,1.0506e-07-5.1205e-09i,-6.3914e-08+3.1061e-08i,4.3942e-08+2.6731e-08i,-4.4288e-08-1.4393e-08i,-3.1987e-08+3.2185e-08i,1.4647e-08-2.3921e-08i,-2.8038e-08-1.5883e-08i,-7.7863e-08-3.6338e-08i,-1.174e-07+7.4896e-09i,-4.9782e-08-5.2768e-08i
-2.8079e-08+6.5265e-08i,4.4868e-08+9.1916e-08i,6.7843e-10-3.029e-08i,-6.6266e-08-1.581e-08i,2.3755e-08-8.4097e-08i,-5.7974e-09-2.0082e-08i,1.2275e-08+2.4356e-08i,1.2342e-08+2.8056e-08i,1.1413e-07-2.6101e-08i,-5.2194e-08-6.5821e-08i,1.5315e-08-5.3237e-08i,5.942e-08-1.8382e-08i,-9.177e-10-4.0112e-08i,7.3519e-08-1.0729e-08i,-1.0029e-07+5.6822e-09i,-2.765e-08+1.7923e-08i,-6.2344e-08+3.5376e-09i,3.7972e-08+3.0475e-08i,8.2747e-08-3.9635e-08i,1.0492e-07+8.7282e-09i,-5.2272e-08-1.3394e-08i,6.4242e-08+1.5126e-08i,-2.2659e-08+7.1888e-08i,2.6136e-08+9.8994e-09i,-2.0268e-08-4.3964e-08i
-2.5931e-08-5.1682e-09i,3.9311e-08-1.8002e-08i,-4.5444e-08+2.4292e-08i,3.8686e-08-7.9796e-08i,3.8737e-08+5.8066e-08i,-9.3841e-08+4.8065e-08i,-7.939e-09+5.2159e-08i,1.0121e-07-2.4566e-08i,3.5323e-09-3.9055e-08i,3.8031e-08-4.2599e-09i,-9.5485e-09-4.4133e-08i,-8.8713e-09+6.1888e-08i,-5.3987e-08+4.5748e-08i,-4.0146e-08-4.9326e-08i,1.9196e-08-2.3231e-08i,-3.0955e-08-8.1851e-08i,8.5181e-09+5.9566e-08i,-2.1122e-08-6.6029e-08i,6.2434e-08+1.6527e-08i,6.2978e-08-1.6588e-08i,-6.7151e-09+1.9451e-08i,7.6677e-08+6.7558e-08i,2.4e-09-2.0457e-08i,4.3197e-08-5.3064e-10i,-3.9033e-09+3.6994e-09i
-5.2556e-08-2.0002e-08i,-2.5999e-08-1.6012e-08i,9.7789e-08+1.8247e-08i,6.3549e-08-6.483e-10i,2.0154e-08+4.2691e-08i,-5.9739e-09-9.2093e-08i,-4.7927e-09+7.8236e-08i,-2.8853e-08-3.5782e-08i,-5.0462e-08+4.6158e-08i,-3.3974e-08+6.9094e-08i,-8.4744e-08-2.2954e-08i,-1.1574e-08-2.0802e-08i,4.378e-08-5.4826e-09i,3.8733e-09-2.2992e-08i,1.7352e-08+6.0834e-08i,-1.171e-08+7.0424e-08i,-3.0509e-08-5.2784e-08i,-3.0488e-08+5.0541e-08i,-7.8452e-10+4.936e-10i,4.5472e-08+9.5137e-09i,-6.7645e-08+1.0731e-08i,-4.4798e-09-5.3822e-08i,3.449e-08-2.7744e-08i,5.1286e-08+3.5136e-08i,4.6396e-08+1.5192e-08i
